latitude;longitude;endereco_completo;rua;numero;bairro;cidade;estado;cep;pais;place_id;geocoder_usado
-8,034551714;-34,93493087;R. São Mateus, 810 - Iputinga, Recife - PE, 50680-000, Brasil;Rua São Mateus;810;Iputinga;Recife;PE;50680-000;Brasil;ChIJy8l4cnYZqwcREc9tAuHwPSY;google
-8,029963597;-34,93417986;R. São Mateus, 1237 - Iputinga, Recife - PE, 50680-000, Brasil;Rua São Mateus;1237;Iputinga;Recife;PE;50680-000;Brasil;ChIJ-efOn54ZqwcRlnEglkhj-GE;google
-8,07141133;-34,90944731;R. Prof. Frederico Curió, 148 - Afogados, Recife - PE, 50830-370, Brasil;Rua Professor Frederico Curió;148;Afogados;Recife;PE;50830-370;Brasil;ChIJ3amUISsZqwcRajvLw91A6Mo;google
-8,052824242;-34,94596692;R. Costa Sepúlveda, 99998 - Engenho do Meio, Recife - PE, 50730-265, Brasil;Rua Costa Sepúlveda;99998;Engenho do Meio;Recife;PE;50730-265;Brasil;ChIJc6a6Yl4ZqwcR93nwWJY5iUc;google
-8,04032268;-34,89475565;Praça da Feb, 106 - Encruzilhada, Recife - PE, 52050-460, Brasil;Praça da Feb;106;Encruzilhada;Recife;PE;52050-460;Brasil;ChIJB3U7b_cYqwcRAz8b7MRF8mk;google
-8,044298954;-34,89048591;R. Quarenta e Oito, 97 - Espinheiro, Recife - PE, 52020-060, Brasil;Rua Quarenta e Oito;97;Espinheiro;Recife;PE;52020-060;Brasil;ChIJfZOBZvEYqwcRxiWbkMyca8k;google
-8,032429878;-34,91248419;R. Prof. Ageu Magalhães, 327 - Parnamirim, Recife - PE, 52060-260, Brasil;Rua Professor Ageu Magalhães;327;Parnamirim;Recife;PE;52060-260;Brasil;ChIJsZc6e6kZqwcRazAqxQ3Qepg;google
-8,077529324;-34,97179126;R. Onze de Agosto, 92 - Iputinga, Recife - PE, 50791-495, Brasil;Rua Onze de Agosto;92;Iputinga;Recife;PE;50791-495;Brasil;ChIJlwJb2xIcqwcRVxJaLn6VvMg;google
-8,114817734;-34,95136286;Av. Engenho Serra Verde, 445 - COHAB, Recife - PE, 51270-570, Brasil;Avenida Engenho Serra Verde;445;COHAB;Recife;PE;51270-570;Brasil;ChIJM-TcHNgdqwcRlPT618gmZ_4;google
-8,084799814;-34,95417142;R. Itapetininga, 72 - Jardim São Paulo, Recife - PE, 50790-410, Brasil;Rua Itapetininga;72;Jardim São Paulo;Recife;PE;50790-410;Brasil;ChIJHUNJBR8cqwcR3INpZP3uSHs;google
-8,065958743;-34,88424422;Av. Rio Capibaribe, 2 - São José, Recife - PE, 50020-080, Brasil;Avenida Rio Capibaribe;2;São José;Recife;PE;50020-080;Brasil;ChIJTUhO_LcYqwcRts59tnOarsc;google
-8,090268158;-34,90954554;R. Zeferino Pinho, 90 - Imbiribeira, Recife - PE, 51170-570, Brasil;Rua Zeferino Pinho;90;Imbiribeira;Recife;PE;51170-570;Brasil;ChIJ1QVoneAeqwcRlXr7Gzs-v3o;google
-8,085492871;-34,93084057;Av. Estância, 64 - Areias, Recife - PE, 50865-010, Brasil;Avenida Estância;64;Areias;Recife;PE;50865-010;Brasil;ChIJQUdzGL8eqwcR8kJpLDFPjDM;google
-7,983870287;-34,92499792;R. Eng. Arnulfo Falcão, 1 - Passarinho, Recife - PE, 52390-520, Brasil;Rua Engenheiro Arnulfo Falcão;1;Passarinho;Recife;PE;52390-520;Brasil;ChIJYw09ZWkXqwcR-9PgSCz2Sno;google
-8,111700509;-34,94915465;R. São Mateus, 85 - COHAB, Recife - PE, 51270-131, Brasil;Rua São Mateus;85;COHAB;Recife;PE;51270-131;Brasil;ChIJ26J77HgeqwcR5YSn25o3ovI;google
-8,111580636;-34,94858746;R. São Mateus, 50 - COHAB, Recife - PE, 51270-131, Brasil;Rua São Mateus;50;COHAB;Recife;PE;51270-131;Brasil;ChIJS_Bx6HgeqwcRKXhUOXey9M0;google
-8,038707855;-34,93600179;R. São Mateus, 323a - Iputinga, Recife - PE, 50731-390, Brasil;Rua São Mateus;323a;Iputinga;Recife;PE;50731-390;Brasil;ChIJZ8EePXEZqwcRcr4hG_clMFg;google
-8,039791373;-34,93638478;R. São Mateus, 209-201 - Iputinga, Recife - PE, 50731-320, Brasil;Rua São Mateus;209-201;Iputinga;Recife;PE;50731-320;Brasil;ChIJcaHsBnEZqwcRnBuQO53MGYw;google
-8,110231395;-34,95249954;Av. Santo Antônio, 395 - Barro, Recife - PE, 51275-175, Brasil;Avenida Santo Antônio;395;Barro;Recife;PE;51275-175;Brasil;ChIJxxu6dtYdqwcRk0B7hF6AONY;google
-8,034728799;-34,9349574;R. São Mateus, 13 - Iputinga, Recife - PE, 50731-370, Brasil;Rua São Mateus;13;Iputinga;Recife;PE;50731-370;Brasil;ChIJiVj0ZXYZqwcRI3kUws5snSE;google
-8,029612443;-34,93413563;R. São Mateus, 1292 - Iputinga, Recife - PE, 54753-600, Brasil;Rua São Mateus;1292;Iputinga;Recife;PE;54753-600;Brasil;ChIJFVf4nAAZqwcRMmczpb9qBPg;google
-8,033127014;-34,9346973;R. São Mateus, 931 - Iputinga, Recife - PE, 50680-000, Brasil;Rua São Mateus;931;Iputinga;Recife;PE;50680-000;Brasil;ChIJ4dAI-Z0ZqwcRnSEPElTbSns;google
-8,018863803;-34,91095147;R. Córrego do Euclídes, 11 - Alto José Bonifacio, Recife - PE, 52080-001, Brasil;Rua Córrego do Euclídes;11;Alto José Bonifacio;Recife;PE;52080-001;Brasil;ChIJf-g5ybUZqwcRE3dkueTcrpc;google
-8,064267858;-34,87357389;R. Tomazina, 268 - Recife, PE, 50030-020, Brasil;Rua Tomazina;268;Recife;Recife;PE;50030-020;Brasil;ChIJBY2R1KQYqwcRN82f0ELlaSY;google
-8,052443682;-34,94667521;Av. Visc. de São Leopoldo, 25 - Cidade Universitária, Recife - PE, 50730-121, Brasil;Avenida Visconde de São Leopoldo;25;Cidade Universitária;Recife;PE;50730-121;Brasil;ChIJIc_fX14ZqwcR5cJee2EnN-M;google
-8,062859593;-34,87700267;R. do Imperador Pedro II, 206 - Santo Antônio, Recife - PE, 50010-240, Brasil;Rua do Imperador Pedro II;206;Santo Antônio;Recife;PE;50010-240;Brasil;ChIJcy2jdbwYqwcRtrouTnlOO7A;google
-8,033895236;-34,90561063;R. Padre Roma, 191 - Tamarineira, Recife - PE, 52050-150, Brasil;Rua Padre Roma;191;Tamarineira;Recife;PE;52050-150;Brasil;ChIJzaWRIVUYqwcReGysyGVb8Aw;google
-8,065419496;-34,87341392;Tv. do Amorim, 75 - Recife, PE, 50030-070, Brasil;Travessa do Amorim;75;Recife;Recife;PE;50030-070;Brasil;ChIJ-wzzNKUYqwcRbTB1dGOql5M;google
-8,030510432;-34,91851151;R. Ernesto Rufino, 937 - Casa Forte, Recife - PE, 52061-001, Brasil;Rua Ernesto Rufino;937;Casa Forte;Recife;PE;52061-001;Brasil;ChIJbUtxDqYZqwcRFPVAVms6Nmo;google
-8,032839658;-34,91121969;Estr. do Encanamento, 119 - Casa Forte, Recife - PE, 52060-210, Brasil;Estrada do Encanamento;119;Casa Forte;Recife;PE;52060-210;Brasil;ChIJzSp706sZqwcRzez5ChDSH1g;google
-8,133727487;-34,91332011;Av. Vinte de Janeiro, 83 - Boa Viagem, Recife - PE, 51030-160, Brasil;Avenida Vinte de Janeiro;83;Boa Viagem;Recife;PE;51030-160;Brasil;ChIJfXFZbDEeqwcR6TfJF8wPrpA;google
-8,143226134;-34,91545072;Av. Lino Jordão, 1319 - Boa Viagem, Recife - PE, 51210-090, Brasil;Avenida Lino Jordão;1319;Boa Viagem;Recife;PE;51210-090;Brasil;ChIJHUP6-SgeqwcRkEY4uTzAqno;google
-8,061337038;-34,88706272;R. Rosário da Boa Vista, 83 - Boa Vista, Recife - PE, 50060-100, Brasil;Rua Rosário da Boa Vista;83;Boa Vista;Recife;PE;50060-100;Brasil;ChIJqTOGKMcYqwcRiYz5qnYnKDI;google
-8,062242313;-34,87222418;R. da Guia, 75 - Recife, PE, 50030-210, Brasil;Rua da Guia;75;Recife;Recife;PE;50030-210;Brasil;ChIJzViNXqMYqwcRax-HeYi2c2I;google
-8,080715822;-34,95241925;Estr. do Curado, 635 - Jardim São Paulo, Recife - PE, 50790-108, Brasil;Estrada do Curado;635;Jardim São Paulo;Recife;PE;50790-108;Brasil;ChIJATPZDB0dqwcRVo1yt1oAGzE;google
-8,080825959;-34,95247678;Estr. do Curado, 305 - Curado, Recife - PE, 50790-108, Brasil;Estrada do Curado;305;Curado;Recife;PE;50790-108;Brasil;ChIJP7Quuh0cqwcRq6Jg9Mx7BbM;google
-8,06330301;-34,88672711;R. Velha, 248 - Boa Vista, Recife - PE, 50060-210, Brasil;Rua Velha;248;Boa Vista;Recife;PE;50060-210;Brasil;ChIJR_QbqMcYqwcRp50jgPJGH5U;google
-8,124496836;-34,90140989;R. Ernesto de Paula Santos, 454 - Boa Viagem, Recife - PE, 51021-330, Brasil;Rua Ernesto de Paula Santos;454;Boa Viagem;Recife;PE;51021-330;Brasil;ChIJIxCXTLEfqwcRXnhp9K_4sQI;google
-8,056220219;-34,94347798;R. Gov. Lopo Garro, 294 - Engenho do Meio, Recife - PE, 50740-700, Brasil;Rua Governador Lopo Garro;294;Engenho do Meio;Recife;PE;50740-700;Brasil;ChIJPaRYlFsZqwcRRNneIQ8J53k;google
-8,0404625;-34,94165087;R. Manoel Joaquim de Almeida, 87 - Iputinga, Recife - PE, 50670-370, Brasil;Rua Manoel Joaquim de Almeida;87;Iputinga;Recife;PE;50670-370;Brasil;ChIJD7Xm6HoZqwcRWCfquLVMs58;google
