latitude;longitude;endereco_completo;rua;numero;bairro;cidade;estado;cep;pais;place_id;geocoder_usado
-8,113710528;-34,94205537;R. Rio Prado, 62 - Ibura, Recife - PE, 51240-030, Brasil;Rua Rio Prado;62;Ibura;Recife;PE;51240-030;Brasil;ChIJ2SsT-HoeqwcRvDq9RkveDmE;google
-8,076912377;-34,94522047;R. Paratibe, 242 - Jardim São Paulo, Recife - PE, 50790-260, Brasil;Rua Paratibe;242;Jardim São Paulo;Recife;PE;50790-260;Brasil;ChIJG2nAzKgeqwcRQxcko-CF_Ns;google
-8,034544693;-34,89841757;R. Caio Pereira, 65 - Rosarinho, Recife - PE, 52041-045, Brasil;Rua Caio Pereira;65;Rosarinho;Recife;PE;52041-045;Brasil;ChIJZSKhVVYYqwcRT2-0UBfJZ2A;google
-8,034118246;-34,88193826;R. Visc. de Cairú, 71 - Campo Grande, Recife - PE, 52031-140, Brasil;Rua Visconde de Cairú;71;Campo Grande;Recife;PE;52031-140;Brasil;ChIJO_8NymYYqwcRMSk88_Igg5M;google
-8,00958466;-34,89182574;R. Pascoal Sivini, 261 - Porto da Madeira, Recife - PE, 52130-160, Brasil;Rua Pascoal Sivini;261;Porto da Madeira;Recife;PE;52130-160;Brasil;ChIJSYVeyyQYqwcRP3OwrSZkC-0;google
-8,143821625;-34,91217595;R. Padre Leandro Camelo, 105 - Boa Viagem, Recife - PE, 51130-250, Brasil;Rua Padre Leandro Camelo;105;Boa Viagem;Recife;PE;51130-250;Brasil;ChIJwxVtfykeqwcR-vnnDvi95hY;google
-8,009591781;-34,8918441;R. Pascoal Sivini, 261 - Porto da Madeira, Recife - PE, 52130-160, Brasil;Rua Pascoal Sivini;261;Porto da Madeira;Recife;PE;52130-160;Brasil;ChIJSYVeyyQYqwcRP3OwrSZkC-0;google
-8,077044411;-34,94387177;R. Itai, 163 - Jardim São Paulo, Recife - PE, 50790-290, Brasil;Rua Itai;163;Jardim São Paulo;Recife;PE;50790-290;Brasil;ChIJ2UPqPa8eqwcRa3eTJKVZZAE;google
-8,051621527;-34,87858757;R. do Veiga, 595 - Santo Amaro, Recife - PE, 50040-110, Brasil;Rua do Veiga;595;Santo Amaro;Recife;PE;50040-110;Brasil;ChIJYWaQW5EYqwcR1mb9QkiGAWY;google
-8,03106699;-34,90400575;R. José Carvalheira, 106 - Tamarineira, Recife - PE, 52051-060, Brasil;Rua José Carvalheira;106;Tamarineira;Recife;PE;52051-060;Brasil;ChIJvZ8EeVMYqwcRDJRy-anpEuY;google
-8,033013161;-34,97317042;R. Ten. Roland Rittmíster, 89 - Várzea, Recife - PE, 50970-120, Brasil;Rua Tenente Roland Rittmíster;89;Várzea;Recife;PE;50970-120;Brasil;ChIJzSoE87UbqwcRvlflUyCsggc;google
-8,107826369;-34,92628141;Rua Pintor Antônio de Albuquerque, 81a - Ipsep, Recife - PE, 51350-510, Brasil;Rua Pintor Antônio de Albuquerque;81a;Ipsep;Recife;PE;51350-510;Brasil;ChIJXZrMffUeqwcR8YYWIgg2Ot4;google
-8,050815736;-34,90736991;R. Des. Luís Salazar, 78 - Madalena, Recife - PE, 50610-080, Brasil;Rua Desembargador Luís Salazar;78;Madalena;Recife;PE;50610-080;Brasil;ChIJNfGwPR4ZqwcRh6WBH9sAmvU;google
-8,077091118;-34,94330575;R. Paratibe, 71 - Jardim São Paulo, Recife - PE, 50790-260, Brasil;Rua Paratibe;71;Jardim São Paulo;Recife;PE;50790-260;Brasil;ChIJG7J1E68eqwcRvJV21pstcH0;google
-8,024702478;-34,91582321;R. Maj. Afonso Leal, 256 - Casa Amarela, Recife - PE, 52070-160, Brasil;Rua Major Afonso Leal;256;Casa Amarela;Recife;PE;52070-160;Brasil;ChIJaQY8ObAZqwcRzojYmT2_vlM;google
-8,066477993;-34,92569429;R. Ourém, 57 - San Martin, Recife - PE, 50761-340, Brasil;Rua Ourém;57;San Martin;Recife;PE;50761-340;Brasil;ChIJZfykKzQZqwcRnWov9WMrprI;google
-8,06646651;-34,92571867;R. Ourém, 57 - San Martin, Recife - PE, 50761-340, Brasil;Rua Ourém;57;San Martin;Recife;PE;50761-340;Brasil;ChIJZfykKzQZqwcRnWov9WMrprI;google
-8,024068823;-34,8901049;R. do Machado, 193 - Arruda, Recife - PE, 52120-120, Brasil;Rua do Machado;193;Arruda;Recife;PE;52120-120;Brasil;ChIJWRjeBkQYqwcRi3BAwnJ4-Pk;google
-8,054254448;-34,91678078;R. Abdias de Oliveira, 42 - Zumbi, Recife - PE, 50720-550, Brasil;Rua Abdias de Oliveira;42;Zumbi;Recife;PE;50720-550;Brasil;ChIJjdwHuiIZqwcRvxaxdezmkgI;google
-8,053809172;-34,91661429;R. Rosa Cândida, 64 - Zumbi, Recife - PE, 50720-500, Brasil;Rua Rosa Cândida;64;Zumbi;Recife;PE;50720-500;Brasil;ChIJFd1VpCIZqwcRltdXyK_--9o;google
-8,053213483;-34,88842687;Rua Manoel Pereira, 70 - Santo Amaro, Recife - PE, 50050-140, Brasil;Rua Manoel Pereira;70;Santo Amaro;Recife;PE;50050-140;Brasil;ChIJs6xtt-sYqwcRNTQ1932ZQ7g;google
-8,054525737;-34,88613048;R. Gen. José Semeão, 5 - Soledade, Recife - PE, 50050-120, Brasil;Rua General José Semeão;5;Soledade;Recife;PE;50050-120;Brasil;ChIJKXP55eoYqwcRqDfXwry-5xc;google
-8,128785052;-34,94309694;R. Srg. Coriolando Santiago, 245 - Jardim Jordão, Recife - PE, 51240-760, Brasil;Rua Sargento Coriolando Santiago;245;Jardim Jordão;Recife;PE;51240-760;Brasil;ChIJs2WJOgweqwcRuuRTCCoLjlc;google
-8,068057627;-34,9142122;R. Apucarana, 464 - San Martin, Recife - PE, 50760-820, Brasil;Rua Apucarana;464;San Martin;Recife;PE;50760-820;Brasil;ChIJrbgHMCwZqwcR7GT7wwiDOJ8;google
-8,021235309;-34,89921143;R. Antônio Porfírio de Santana, 108 - Bomba do Hemetério, Recife - PE, 52111-190, Brasil;Rua Antônio Porfírio de Santana;108;Bomba do Hemetério;Recife;PE;52111-190;Brasil;ChIJwTPSFkkYqwcRqHRT5u-KT1Y;google
-8,005505658;-34,92564886;Tv. São João Eudes, 105 - Nova Descoberta, Recife - PE, 52190-020, Brasil;Travessa São João Eudes;105;Nova Descoberta;Recife;PE;52190-020;Brasil;ChIJYdbY3twZqwcR2bN2HQNGgmo;google
-8,021411993;-34,89867271;R. Riolândia, 184 - Bomba do Hemetério, Recife - PE, 52111-220, Brasil;Rua Riolândia;184;Bomba do Hemetério;Recife;PE;52111-220;Brasil;ChIJc39lGUkYqwcRcGzA4bMS5CE;google
-8,05507867;-34,95789292;R. Bernardo Sayão, 193 - Várzea, Recife - PE, 50741-440, Brasil;Rua Bernardo Sayão;193;Várzea;Recife;PE;50741-440;Brasil;ChIJu9qTOOQbqwcRT0oHTGZKpEU;google
-8,06026587;-34,90387463;R. Prof. Benedito Monteiro, 110 - Madalena, Recife - PE, 50720-545, Brasil;Rua Professor Benedito Monteiro;110;Madalena;Recife;PE;50720-545;Brasil;ChIJF78139gYqwcRqWNV-LQs2RQ;google
-8,12881661;-34,9395901;R. Brejo da Cruz, 51 - Ibura, Recife - PE, 51240-735, Brasil;Rua Brejo da Cruz;51;Ibura;Recife;PE;51240-735;Brasil;ChIJ7TfvCRIeqwcRIA_4uvanyxU;google
-8,083356713;-34,88229732;R. Carapeba, 1 - Brasília Teimosa, Recife - PE, 51010-420, Brasil;Rua Carapeba;1;Brasília Teimosa;Recife;PE;51010-420;Brasil;ChIJzzlzZ0gfqwcReqfY4tx6b7I;google
-8,044127454;-34,94227933;R. Frei Orlando, 27 - Iputinga, Recife - PE, 50670-450, Brasil;Rua Frei Orlando;27;Iputinga;Recife;PE;50670-450;Brasil;ChIJbeqArGUZqwcR8pYn2wlPpu0;google
-8,022529259;-34,92696252;R. Cametá, 311 - Alto do Mandu, Recife - PE, 52071-160, Brasil;Rua Cametá;311;Alto do Mandu;Recife;PE;52071-160;Brasil;ChIJ7dw9Cr0ZqwcRl21bjBDfdnM;google
-8,083915769;-34,93742003;R. Mil Novecentos e Onze, 233 - Jardim São Paulo, Recife - PE, 50781-570, Brasil;Rua Mil Novecentos e Onze;233;Jardim São Paulo;Recife;PE;50781-570;Brasil;ChIJMbIMhLweqwcRO6YD4Q5ZXIY;google
-8,090907176;-34,94537445;R. Deodato Tôrres, 2 - Barro, Recife - PE, 50900-510, Brasil;Rua Deodato Tôrres;2;Barro;Recife;PE;50900-510;Brasil;ChIJfXKuy54eqwcRObLD94gmS7o;google
-8,089719197;-34,9455415;R. Deodato Tôrres, 147 - Barro, Recife - PE, 50900-510, Brasil;Rua Deodato Tôrres;147;Barro;Recife;PE;50900-510;Brasil;ChIJ9UaxKZ8eqwcRbwq5Sufu_i0;google
-8,087294845;-34,9084714;R. Eng. José Apolinário, 325 - Imbiribeira, Recife - PE, 51170-410, Brasil;Rua Engenheiro José Apolinário;325;Imbiribeira;Recife;PE;51170-410;Brasil;ChIJXZF9Od8eqwcR_l0M9hXjZSY;google
-8,082059474;-34,9134413;R. Santo Cristo, 310a - Afogados, Recife - PE, 50770-660, Brasil;Rua Santo Cristo;310a;Afogados;Recife;PE;50770-660;Brasil;ChIJ9fesEtoeqwcR8uMN9sNZmlE;google
-8,091641985;-34,91344678;R. Dr. José Alberto Maia, 350 - Imbiribeira, Recife - PE, 51170-610, Brasil;Rua Doutor José Alberto Maia;350;Imbiribeira;Recife;PE;51170-610;Brasil;ChIJY0dza-ceqwcRkvuZaIN4Y7E;google
-8,112819922;-34,94910643;Av. Engenho Babilônia, 97 - COHAB, Recife - PE, 51270-080, Brasil;Avenida Engenho Babilônia;97;COHAB;Recife;PE;51270-080;Brasil;ChIJ0-NZXngeqwcRhhIZjNHBn-E;google
-8,073566873;-34,90727424;R. Gáspar Drumond, 213 - Afogados, Recife - PE, 50750-020, Brasil;Rua Gáspar Drumond;213;Afogados;Recife;PE;50750-020;Brasil;ChIJv4dnQ9UeqwcR98U-pHnD_Q8;google
-8,083881898;-34,9371971;R. Mil Novecentos e Onze, 251A - Jardim São Paulo, Recife - PE, 50781-570, Brasil;Rua Mil Novecentos e Onze;251A;Jardim São Paulo;Recife;PE;50781-570;Brasil;ChIJVeI2gbweqwcRLk5iXBacDaU;google
-8,053512058;-34,91717689;R. Cel. Tomás Gonçalves, 30 - Zumbi, Recife - PE, 50720-580, Brasil;Rua Coronel Tomás Gonçalves;30;Zumbi;Recife;PE;50720-580;Brasil;ChIJiS_QriIZqwcR60LFXtqJCEg;google
-8,010993276;-34,88185045;R. Hercília de Medeiros, 316 - Cajueiro, Recife - PE, 52221-305, Brasil;Rua Hercília de Medeiros;316;Cajueiro;Recife;PE;52221-305;Brasil;ChIJqfG8ghcYqwcRi4u8Fp9bHTA;google
-8,101544605;-34,88873117;R. Irene Ramos Gomes de Matos, 222 - Pina, Recife - PE, 50030-230, Brasil;Rua Irene Ramos Gomes de Matos;222;Pina;Recife;PE;50030-230;Brasil;ChIJHYzwFBIfqwcRxnPR-4MomC4;google
-8,03185427;-34,90627539;Rua Isaac Salazar, 185 - Tamarineira, Recife - PE, 52060-105, Brasil;Rua Isac Salazar;185;Tamarineira;Recife;PE;52060-105;Brasil;ChIJzfkDslQYqwcRXN-h77-vLeY;google
-8,095477394;-34,91755471;Rua Pianista Ismar Mariano, 104 - Imbiribeira, Recife - PE, 51170-130, Brasil;Rua Pianista Ismar Mariano;104;Imbiribeira;Recife;PE;51170-130;Brasil;ChIJ182y-eUeqwcRjBIfir1W16U;google
-8,095788114;-34,91625637;R. Bernardo Gabriel, 94 - Imbiribeira, Recife - PE, 51170-380, Brasil;Rua Bernardo Gabriel;94;Imbiribeira;Recife;PE;51170-380;Brasil;ChIJc4536-UeqwcRd23o5v0Ojk4;google
-8,083544531;-34,95604045;R. Itapetininga, 188a - Curado, Recife - PE, 50790-410, Brasil;Rua Itapetininga;188a;Curado;Recife;PE;50790-410;Brasil;ChIJ0davzR4cqwcRJS676BlaUVY;google
-8,082922024;-34,95697125;R. Itapetininga, 296 - Curado, Recife - PE, 50790-410, Brasil;Rua Itapetininga;296;Curado;Recife;PE;50790-410;Brasil;ChIJiRflRxkcqwcROnmojjQTNNI;google
-8,065309582;-34,9280613;R. Itaporanga, 10 - San Martin, Recife - PE, 50761-020, Brasil;Rua Itaporanga;10;San Martin;Recife;PE;50761-020;Brasil;ChIJTfOVGzYZqwcR4Nau9AApu_8;google
-8,021087116;-34,9295576;R. Jaguarana, 229 - Alto do Mandu, Recife - PE, 52071-020, Brasil;Rua Jaguarana;229;Alto do Mandu;Recife;PE;52071-020;Brasil;ChIJDSrMbJYZqwcRvyrqrWHnKl0;google
-8,055801967;-34,9247434;1° Travessa Rua Cap. João Romã, 14 - Cordeiro, Recife - PE, 50630-590, Brasil;1° Travessa Rua Capitão João Romã;14;Cordeiro;Recife;PE;50630-590;Brasil;ChIJ75tz7D4ZqwcRIpxULOVkJso;google
-8,018240752;-34,88712222;R. Maj. Guilherme Bonifácio, 961 - Água Fria, Recife - PE, 52120-429, Brasil;Rua Major Guilherme Bonifácio;961;Água Fria;Recife;PE;52120-429;Brasil;ChIJyWvrnz8YqwcR-7sRV6-qj-k;google
-8,044919093;-34,9425572;R. Lago Verde, 97 - Iputinga, Recife - PE, 50670-460, Brasil;Rua Lago Verde;97;Iputinga;Recife;PE;50670-460;Brasil;ChIJxaFQS2QZqwcRcf28sw2mdKY;google
-8,099425599;-34,91467197;Av. Mônaco, 403 - Imbiribeira, Recife - PE, 51180-180, Brasil;Avenida Mônaco;403;Imbiribeira;Recife;PE;51180-180;Brasil;ChIJW3J41uQeqwcRFhXe4Di2XxQ;google
-8,060760878;-34,91969696;R. Oscár Raposo, 188 - Prado, Recife - PE, 50630-350, Brasil;Rua Oscár Raposo;188;Prado;Recife;PE;50630-350;Brasil;ChIJYzWb8ToZqwcR9gHQ4FQUg-I;google
-8,093676663;-34,91328327;Av. José Ferreira Lins, 153 - Imbiribeira, Recife - PE, 51170-320, Brasil;Avenida José Ferreira Lins;153;Imbiribeira;Recife;PE;51170-320;Brasil;ChIJ_6FAweYeqwcRYi50x2dE0Fw;google
-8,074470554;-34,92753745;Rua Mineirolândia, 283 - San Martin, Recife - PE, 50761-620, Brasil;Rua Mineirolândia;283;San Martin;Recife;PE;50761-620;Brasil;ChIJx0SfE8oeqwcRZ0tWlUEz3SQ;google
-8,075625668;-34,92736141;R. Ten. Mindelo, 192 - Jiquiá, Recife - PE, 50761-400, Brasil;Rua Tenente Mindelo;192;Jiquiá;Recife;PE;50761-400;Brasil;ChIJMaG69ckeqwcRcJ5pgbhmGuw;google
-8,009888008;-34,88474789;R. Luís Clericuzi, 343 - Cajueiro, Recife - PE, 52221-250, Brasil;Rua Luís Clericuzi;343;Cajueiro;Recife;PE;52221-250;Brasil;ChIJExE3sSIYqwcRUTQhgiPpjqY;google
-8,059294524;-34,9192612;R. Oscár Raposo, 12b - Prado, Recife - PE, 50630-350, Brasil;Rua Oscár Raposo;12b;Prado;Recife;PE;50630-350;Brasil;ChIJjcfZEDsZqwcRLQ9iVrYuQSE;google
-8,015992257;-34,88023785;R. dos Peixinhos, 1349 - Campina do Barreto, Recife - PE, 52121-010, Brasil;Rua dos Peixinhos;1349;Campina do Barreto;Recife;PE;52121-010;Brasil;ChIJtQLCGRQYqwcR5Jm0o9thQGo;google
-8,02522952;-34,88715415;R. Pedro Rodrigues de Barros, 66 - Arruda, Recife - PE, 52120-330, Brasil;Rua Pedro Rodrigues de Barros;66;Arruda;Recife;PE;52120-330;Brasil;ChIJyadKS0IYqwcRVfmy3BNCXmk;google
-8,103335566;-34,88721612;R. Raul Azedo, 67 - Boa Viagem, Recife - PE, 51011-610, Brasil;Rua Raul Azedo;67;Boa Viagem;Recife;PE;51011-610;Brasil;ChIJNVuHdg0fqwcRton10E0wJCo;google
-8,018274795;-34,88070627;R. Paulo Rogerio de Andrade Lima, 74 - Campina do Barreto, Recife - PE, 52121-310, Brasil;Rua Paulo Rogerio de Andrade Lima;74;Campina do Barreto;Recife;PE;52121-310;Brasil;ChIJ5YfD7RQYqwcR3Z3N-msvvn4;google
-8,037981209;-34,89535014;R. Samuel Campêlo, 357 - Aflitos, Recife - PE, 52050-042, Brasil;Rua Samuel Campêlo;357;Aflitos;Recife;PE;52050-042;Brasil;ChIJTRrk9PcYqwcR9Bcknm-gzm0;google
-8,00938623;-34,88616462;R. Virgílio de Melo Franco, 75 - Cajueiro, Recife - PE, 52221-280, Brasil;Rua Virgílio de Melo Franco;75;Cajueiro;Recife;PE;52221-280;Brasil;ChIJIa7_wyIYqwcR7U0Dxo6PaNE;google
-8,108842874;-34,89364566;R. Aviador Severiano Lins, 176 - Boa Viagem, Recife - PE, 51020-060, Brasil;Rua Aviador Severiano Lins;176;Boa Viagem;Recife;PE;51020-060;Brasil;ChIJOzDJWAgfqwcRwr91-hKyNDc;google
