latitude;longitude
-8,134251022;-34,95414917
-8,088883937;-34,967645
-8,037523267;-34,93986802
-8,044485997;-34,90582617
-8,044488969;-34,90584466
-8,095160934;-34,9392298
-8,027909745;-34,93727748
-8,076992417;-34,9001835
-8,056545325;-34,91262944
-7,946773691;-34,97929645
-8,026055592;-34,87914796
-8,101102716;-34,93068881
-8,02936343;-34,87866091
-8,032390015;-34,94211988
-7,995407437;-34,91581271
-7,995166503;-34,91534037
-8,071272392;-34,89988853
-8,02024115;-34,91873949
-8,019482995;-34,92017547
-8,019555885;-34,92002475
-8,019684094;-34,91974842
-8,113707279;-34,94386689
-8,113626487;-34,9438625
-8,113569537;-34,94385941
-8,11354614;-34,94385814
-8,129308696;-34,93344109
-8,129986582;-34,94031049
-8,129690159;-34,94010272
-8,033698765;-34,94171487
-8,022130297;-34,90783129
-8,116413537;-34,95535753
-8,061387374;-34,90479384
-8,061397418;-34,90487243
-8,110638538;-34,91761725
-8,086483066;-34,88008098
-8,087315688;-34,88238266
-8,054217613;-34,92032146
-8,054323429;-34,92037977
-8,053657351;-34,92001316
-8,054628823;-34,92054831
-8,016269063;-34,91942835
-8,082992462;-34,88063109
-8,054089536;-34,90196802
-8,053243463;-34,90219792
-8,053754382;-34,90205993
-8,037358639;-34,9803317
-8,036719572;-34,97993411
-8,039076481;-34,98037513
-8,037028654;-34,98014567
-8,037734775;-34,98054594
-8,039347822;-34,98026867
-8,036320582;-34,97955536
-8,024871423;-34,88946035
-8,024852095;-34,88950886
-8,055065204;-34,88530117
-8,053382046;-34,89995141
-8,040007112;-34,94865485
-8,112041459;-34,92388518
-8,024929475;-34,8923081
-8,062039598;-34,87939776
-8,051005214;-34,93450092
-8,118853725;-34,90011872
-8,040866478;-34,94920957
-8,081855183;-34,93906665
-8,027100347;-34,88374695
-8,034365939;-34,87944001
-8,08971262;-34,96711467
-8,134173627;-34,91200571
-8,040820588;-34,94916712
-8,121063114;-34,93406984
-8,112005495;-34,95353787
-8,070543047;-34,89765508
-8,039851882;-34,93476906
-8,041965505;-34,94957548
-8,041751919;-34,95062153
-8,081823075;-34,9423472
-8,060239652;-34,94402958
-8,028648717;-34,87809144
-8,054497694;-34,94326771
-8,055268756;-34,94049587
-8,005784808;-34,92932788
-8,050359957;-34,92515016
-8,081196556;-34,94239391
-8,00554524;-34,93041038
-8,028276732;-34,876474
-7,985285315;-34,92861413
-8,037369698;-34,89712015
-8,082864071;-34,94477342
-8,085492869;-34,96654593
-8,11580815;-34,92319444
-8,0835746;-34,96795569
-8,082048337;-34,9698356
-8,112445596;-34,91424352
-8,027629805;-34,8800713
-8,115357113;-34,92268292
-8,084036897;-34,96784118
-8,084215803;-34,96762495
-8,084457504;-34,96734374
-8,084515252;-34,96731186
-8,085471903;-34,96656836
-8,085999391;-34,96615687
-8,052979892;-34,93891427
-8,084899776;-34,96710908
-8,086573324;-34,96584504
-8,085779564;-34,96627648
-8,086305041;-34,96602382
-8,020614333;-34,91473529
-8,019816587;-34,91761657
-8,137375863;-34,93024285
-8,048922688;-34,90063962
-8,11281612;-34,92424521
-8,112390291;-34,92375397
-8,114571412;-34,9182063
-8,03059786;-34,93235701
-8,030554839;-34,93388556
-8,03057956;-34,93335359
-8,002726613;-34,92921463
-8,003007339;-34,92870853
-8,035569312;-34,94164967
-8,11764661;-34,92176475
-8,013042918;-34,91101012
-8,013045255;-34,91118583
-8,012848472;-34,91161148
-8,012554093;-34,91212747
-8,012693279;-34,90951994
-8,012675868;-34,90954031
-8,012473628;-34,90994348
